id,seller,price,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id
82,2.0,12500000.0,73.2,10.2,44.2,10.0,3.0,1.0,3.14,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5428
83,3.0,2919800.0,22.46,2.9,10.0,4.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
84,3.0,3128669.0,22.83,2.9,10.2,2.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
85,2.0,3500000.0,28.78,4.0,,3.0,1.0,,,1.0,0.0,,,0.0,1.0,,1.0,4799
86,3.0,3550140.0,19.8,5.2,9.6,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5751
87,3.0,3553122.0,25.71,4.4,11.5,10.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
88,3.0,3693755.0,28.41,7.0,13.8,4.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
89,1.0,3825000.0,23.6,,,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8601
90,3.0,3914695.0,36.43,10.7,12.2,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
91,3.0,3987634.0,36.61,13.7,10.4,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
92,3.0,4082013.0,32.54,10.3,11.8,7.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
93,3.0,4090399.0,28.68,7.5,13.9,6.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
94,3.0,4139820.0,21.8,5.7,10.3,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
95,3.0,4126339.0,32.29,11.4,10.4,10.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,940
96,1.0,4100000.0,28.79,,,9.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1473
97,3.0,4197500.0,28.75,4.0,15.1,12.0,1.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0,6703
98,3.0,4208520.0,20.4,5.1,9.7,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4028
99,3.0,4288760.0,23.8,6.1,11.3,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,3465
100,3.0,4290120.0,20.4,5.1,9.7,5.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,9522
101,,130001970.0,159.0,,,6.0,4.0,,3.1,0.0,2.0,,,,,,1.0,7899
102,2.0,4280000.0,34.34,7.8,13.1,5.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,6712
103,1.0,4325000.0,31.7,,,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8601
104,3.0,4326660.0,23.4,6.1,11.3,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
105,3.0,4336200.0,19.8,5.1,9.7,16.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,400
106,3.0,4333980.0,23.8,6.1,11.3,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
107,0.0,4450000.0,25.3,7.2,11.4,4.0,1.0,,,1.0,0.0,0.0,1.0,,,0.0,2.0,7193
108,3.0,4500720.0,25.2,6.5,11.9,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
109,3.0,4508196.0,31.57,16.5,8.3,6.0,1.0,,2.8,1.0,0.0,,,1.0,1.0,,1.0,3796
110,3.0,4579200.0,27.0,6.9,12.7,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5176
111,2.0,4550000.0,25.5,7.2,11.1,20.0,1.0,,,1.0,0.0,1.0,0.0,,,0.0,1.0,7193
112,0.0,4550000.0,35.0,10.0,17.0,11.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8139
113,3.0,4635800.0,35.66,10.5,18.0,2.0,1.0,,2.7,0.0,1.0,,,,,,1.0,6703
114,3.0,4622750.0,27.5,7.1,12.8,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
115,0.0,4600000.0,27.9,5.3,14.1,7.0,1.0,,,1.0,0.0,,,1.0,0.0,,2.0,1765
116,3.0,4673700.0,27.0,6.9,12.7,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,9522
117,3.0,4680500.0,27.5,7.1,12.8,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,3465
118,3.0,4692699.0,42.28,19.9,11.0,2.0,1.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,940
119,0.0,4680000.0,24.1,5.3,14.8,5.0,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,6208
120,2.0,4700000.0,38.4,11.4,15.4,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8601
121,1.0,4700000.0,36.6,8.0,16.0,1.0,1.0,,,,,1.0,0.0,,,,2.0,8370
122,1.0,4725000.0,38.07,,,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8601
123,3.0,4792600.0,38.65,10.0,16.8,10.0,1.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0,6703
124,3.0,4848385.0,43.59,19.0,10.9,8.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,940
125,3.0,4819500.0,31.5,,12.9,18.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
126,3.0,4914661.0,53.49,9.8,24.5,4.0,2.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,940
127,0.0,4932000.0,41.1,10.9,20.2,2.0,1.0,,,,,1.0,0.0,,,1.0,1.0,4826
128,3.0,4961240.0,40.01,10.5,18.0,14.0,1.0,,2.7,0.0,1.0,,,,,,1.0,6703
129,3.0,4958834.0,48.36,23.3,11.9,5.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,940
130,1.0,4950000.0,33.98,13.1,12.0,9.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,6568
131,3.0,5000925.0,51.35,11.2,25.5,12.0,2.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,940
132,3.0,5031920.0,40.58,10.4,18.1,2.0,1.0,,2.7,0.0,1.0,,,,,,1.0,6703
133,0.0,5000000.0,34.6,11.6,12.0,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
134,1.0,5125000.0,39.1,,,10.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8601
135,3.0,5125337.0,36.43,11.3,15.1,5.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8139
136,,5100000.0,25.2,8.0,16.7,2.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4454
137,3.0,5239200.0,35.4,,16.0,15.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
138,0.0,5200000.0,32.0,6.0,15.0,13.0,1.0,,,1.0,0.0,,,,,,1.0,4836
139,1.0,5290000.0,52.3,9.4,30.6,5.0,2.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8546
140,3.0,5304400.0,35.6,,13.5,16.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
141,3.0,5339950.0,36.5,17.2,10.4,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
142,3.0,5306020.0,35.9,17.0,10.1,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,3465
143,0.0,5300000.0,36.9,10.2,18.2,6.0,1.0,,,1.0,0.0,0.0,1.0,,,,2.0,6208
144,3.0,5358845.0,38.1,17.6,10.7,6.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,654
145,3.0,5413162.0,32.3,7.2,13.9,8.0,1.0,,2.89,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,1602
146,0.0,5400000.0,36.2,,,7.0,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0,8631
147,3.0,5467782.0,36.4,9.9,13.9,16.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8057
148,3.0,5494300.0,32.9,6.0,14.7,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,3092
149,3.0,5541164.0,34.43,10.4,15.0,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,5882
150,3.0,5563460.0,34.3,11.0,11.7,5.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
151,1.0,5500000.0,47.0,,,2.0,2.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,2203
152,2.0,5500000.0,43.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,,,0.0,1.0,2976
153,3.0,5583760.0,33.8,10.7,11.5,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4028
154,3.0,5644921.0,38.8,17.4,11.7,6.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,654
155,3.0,5605581.0,36.65,17.9,10.7,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,5882
156,3.0,5654250.0,35.9,16.9,10.1,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,3092
157,3.0,5696928.0,37.75,11.1,15.6,11.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,5882
158,3.0,5679961.0,36.28,10.9,17.1,13.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,5882
159,3.0,5678190.0,36.38,11.0,17.1,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1473
160,3.0,5661600.0,33.7,10.7,11.5,10.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,400
161,0.0,5650000.0,38.4,10.6,19.4,9.0,1.0,,,1.0,0.0,0.0,1.0,1.0,0.0,,2.0,1765
162,3.0,5703054.0,40.2,18.7,11.7,3.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,654
163,3.0,5745600.0,37.8,,14.9,17.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
164,3.0,5711700.0,39.5,5.0,25.9,6.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0,5033
165,3.0,5712775.0,37.2,10.2,15.5,13.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1602
166,3.0,5727844.0,38.33,11.2,16.6,10.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,4954
167,3.0,5723397.0,38.33,11.2,16.6,8.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,7131
168,1.0,5700000.0,37.0,11.5,16.6,9.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0,3235
169,1.0,5700000.0,36.5,11.4,18.0,7.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9589
170,0.0,5700000.0,65.0,,49.0,3.0,3.0,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8992
171,1.0,5790000.0,37.1,,,11.0,1.0,,,1.0,0.0,,,0.0,1.0,1.0,2.0,311
172,3.0,5768400.0,38.0,17.9,11.4,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
173,3.0,5772100.0,39.4,18.2,11.2,6.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5176
174,3.0,178050000.0,236.91,,,1.0,1.0,,4.2,,,,,,,,1.0,9432
175,3.0,5825490.0,41.7,22.6,10.3,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
176,3.0,5846000.0,39.5,19.6,11.2,14.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,5033
177,3.0,5822610.0,37.6,12.1,13.9,7.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8057
178,3.0,5803560.0,34.3,10.7,11.5,13.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,9522
179,1.0,5800000.0,50.0,9.0,30.0,6.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,2.0,8992
180,0.0,5800000.0,43.0,6.0,28.0,3.0,2.0,1.0,,1.0,0.0,,,1.0,0.0,1.0,1.0,6217
181,3.0,5868100.0,41.5,18.9,13.3,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
182,3.0,5888126.0,46.0,20.9,12.1,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0,654
183,3.0,5947150.0,49.15,10.9,27.6,10.0,2.0,,2.7,0.0,1.0,,,,,,1.0,6703
184,3.0,5909336.0,37.79,11.1,15.6,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8139
185,3.0,5965433.0,46.0,20.9,12.1,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0,8057
186,3.0,5944350.0,34.5,10.7,11.5,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,8281
187,3.0,5985000.0,34.2,,13.8,11.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8498
188,3.0,5992150.0,39.5,18.1,11.1,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4028
189,0.0,5950000.0,44.3,16.0,13.0,21.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7071
190,,5900000.0,40.5,,,2.0,1.0,,2.9,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1737
191,3.0,6027440.0,51.08,11.2,26.5,10.0,2.0,,2.7,0.0,1.0,,,,,,1.0,6703
192,3.0,6049390.0,43.9,17.6,12.1,8.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8057
193,1.0,6000000.0,42.0,9.0,21.0,8.0,1.0,,,1.0,0.0,,,0.0,1.0,1.0,2.0,2036
194,3.0,6028260.0,43.4,23.0,11.4,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,7664
195,2.0,6000000.0,44.0,12.0,18.0,12.0,1.0,,,1.0,0.0,,,0.0,1.0,0.0,2.0,4040
196,3.0,6054567.0,34.9,10.3,11.9,7.0,1.0,,3.19,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,654
197,3.0,6095430.0,39.3,18.1,11.1,16.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,400
198,3.0,6130304.0,46.6,22.1,13.2,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0,8057
199,2.0,6100000.0,44.0,15.0,15.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,2.0,2.0,5887
200,3.0,6196740.0,45.1,22.5,12.4,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4162
201,3.0,6175800.0,42.3,16.0,15.3,4.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0,9522
202,3.0,6177000.0,43.5,22.7,11.5,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
203,3.0,6185800.0,39.4,5.9,23.4,11.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0,7411
204,3.0,6249880.0,52.52,11.2,26.5,16.0,2.0,,,,,,,,,,0.0,6703
205,3.0,6285440.0,51.52,12.1,27.2,13.0,2.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0,6703
206,1.0,6200000.0,37.9,10.0,20.0,11.0,2.0,,,,,,,,,,1.0,2976
207,3.0,6265405.0,39.2,10.4,16.7,12.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,8939
208,3.0,6216210.0,42.9,16.0,15.3,9.0,1.0,,2.65,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,9522
209,3.0,6220500.0,42.9,16.0,15.3,3.0,1.0,,2.65,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,5176
210,,6250000.0,35.9,13.6,13.0,8.0,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0,7193
211,3.0,6323700.0,39.4,19.6,11.2,17.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0,4076
212,3.0,6383070.0,42.3,16.1,15.1,2.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0,3092
213,,6350000.0,38.2,10.0,15.0,9.0,1.0,,2.85,1.0,0.0,,,0.0,1.0,2.0,1.0,841
214,3.0,6487808.0,47.27,6.5,25.4,4.0,2.0,,2.8,1.0,0.0,,,1.0,1.0,,1.0,3796
215,3.0,6476640.0,52.4,19.5,19.9,1.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0,5033
216,,6400000.0,38.0,7.0,31.0,7.0,1.0,,2.74,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3190
217,3.0,6520800.0,52.8,10.5,29.6,1.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0,3465
