id,new,latitude,longitude,district,street,address,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating
7173,0.0,55.809569999999994,37.409271000000004,8.0,улица Маршала Катукова,17К3,1979.0,3.0,9.0,0.0,1.0,0.0,,1.0,0.0
3105,0.0,55.854082,37.362136,8.0,Пятницкое шоссе,36,1996.0,3.0,16.0,0.0,1.0,1.0,,1.0,0.0
7603,0.0,55.873743000000005,37.490227000000004,1.0,Зеленоградская улица,31К6,1966.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
5065,1.0,55.855785,37.471703999999995,1.0,Ленинградское шоссе,94К2,2019.0,0.0,31.0,0.0,1.0,1.0,0.0,,0.0
4892,0.0,55.821769999999994,37.512793,1.0,улица Зои и Александра Космодемьянских,11,1976.0,3.0,9.0,0.0,1.0,0.0,,1.0,0.0
784,0.0,55.78145799999999,37.576043,1.0,Ленинградский проспект,18,1955.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
2975,1.0,55.785073,37.459773999999996,8.0,улица Маршала Тухачевского,56к1,2022.0,,12.0,0.0,1.0,1.0,,,
6525,0.0,55.77551,37.466709,8.0,проспект Маршала Жукова,47к1,1997.0,,22.0,0.0,1.0,0.0,,,
4404,0.0,55.82001999999999,37.714617,3.0,Погонный проезд,23К1,1969.0,4.0,9.0,0.0,1.0,0.0,,1.0,0.0
9501,1.0,55.780345,37.467626,8.0,бульвар Генерала Карбышева,9к1с2,,,30.0,,,,,,
3535,0.0,55.791066,37.773053000000004,3.0,улица Первомайская,5,1992.0,3.0,10.0,1.0,0.0,0.0,,,0.0
7436,0.0,55.848337,37.424749,8.0,Туристская улица,6К4,1966.0,3.0,9.0,0.0,1.0,0.0,,1.0,0.0
7292,0.0,55.804263,37.395158,8.0,Строгинский бульвар,4К1,1980.0,3.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
4205,0.0,55.865424,37.498940999999995,1.0,Петрозаводская улица,18К1,2005.0,4.0,16.0,0.0,1.0,1.0,1.0,1.0,0.0
1462,0.0,55.780765,37.558427,1.0,Беговая улица,13,1952.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0
1491,0.0,55.797594,37.505157000000004,1.0,улица Алабяна,15,1971.0,0.0,16.0,0.0,1.0,1.0,1.0,1.0,0.0
8494,0.0,55.774411,37.494512,8.0,улица Мневники,10К4,1970.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
4296,,55.83740400000001,37.403648,8.0,улица Василия Петушкова,9,,,17.0,,,,,,
7324,0.0,55.83368299999999,37.486463,1.0,Ленинградское шоссе,46,1958.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0
5175,0.0,55.87189,37.509873,1.0,Ангарская улица,1К2,1971.0,3.0,12.0,0.0,1.0,0.0,,1.0,0.0
1285,0.0,55.800909,37.582565,1.0,Бутырская улица,53К3,1962.0,3.0,8.0,0.0,1.0,0.0,,1.0,0.0
3357,0.0,55.870375,37.559927,1.0,Дубнинская улица,47К1,2005.0,3.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0
8305,0.0,55.821254,37.570959,1.0,Ивановская улица,20,1968.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
1127,0.0,55.73974200000001,37.770609,3.0,улица Лазо,18К2,1968.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
4881,0.0,55.748838,37.811671000000004,3.0,улица Алексея Дикого,7К3,1984.0,4.0,16.0,0.0,1.0,1.0,,1.0,0.0
9163,0.0,55.549266,37.31025,11.0,улица Харлампиева,52к2,2019.0,5.0,12.0,0.0,1.0,1.0,,1.0,
758,0.0,55.845470999999996,37.352462,8.0,Дубравная улица,40К2,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
1018,0.0,55.855825,37.352336,8.0,Митинская улица,57,1992.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
641,0.0,55.801541,37.54922,1.0,Планетная улица,16,1964.0,4.0,5.0,1.0,0.0,0.0,,,0.0
7169,0.0,55.774254000000006,37.546525,1.0,Хорошевское шоссе,16к2,2008.0,2.0,44.0,1.0,1.0,1.0,0.0,1.0,0.0
276,0.0,55.789466000000004,37.567186,1.0,Ленинградский проспект,36с38,2019.0,,15.0,0.0,1.0,1.0,0.0,,
2675,1.0,55.875930000000004,37.547719,1.0,м. Тимирязевская,Дмитровское шоссе,2017.0,2.0,28.0,0.0,1.0,1.0,0.0,,
2120,0.0,55.875682999999995,37.565954999999995,1.0,Керамический проезд,51К1,1991.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
9141,0.0,55.864059999999995,37.51202,1.0,Фестивальная улица,48К2,2003.0,3.0,22.0,0.0,1.0,1.0,1.0,1.0,0.0
7320,0.0,55.738884999999996,37.58323,0.0,улица Бурденко,10,2002.0,2.0,6.0,0.0,1.0,0.0,,1.0,0.0
9480,0.0,55.743131999999996,37.768705,3.0,улица Плеханова,27К1,1966.0,4.0,5.0,1.0,0.0,0.0,,0.0,0.0
4743,0.0,55.752627000000004,37.827365,3.0,Федеративный проспект,54,1961.0,0.0,5.0,1.0,0.0,0.0,,,0.0
8371,0.0,55.679681,37.761410999999995,4.0,Новороссийская улица,5К2,1962.0,0.0,5.0,1.0,0.0,0.0,,,2.0
2801,0.0,55.643057999999996,37.717618,4.0,Батайский проезд,19,1981.0,3.0,16.0,0.0,1.0,1.0,,1.0,0.0
1300,0.0,55.650881000000005,37.732359,4.0,улица Перерва,26К1,1988.0,2.0,14.0,0.0,1.0,0.0,,1.0,0.0
8590,0.0,55.65241999999999,37.743965,4.0,Люблинская улица,161,1995.0,3.0,14.0,0.0,1.0,0.0,,1.0,0.0
6779,0.0,55.749157,37.715336,4.0,2-я Кабельная улица,15,1950.0,2.0,6.0,0.0,1.0,0.0,,,0.0
6012,0.0,55.825708999999996,37.430615,8.0,Волоколамское шоссе,98,1961.0,0.0,5.0,1.0,0.0,0.0,,,0.0
5839,1.0,55.790670999999996,37.550136,1.0,Ленинградский проспект,35С2,2019.0,2.0,15.0,0.0,1.0,1.0,,1.0,
7718,1.0,55.791132,37.566871,1.0,Ленинградский проспект,36к13,2019.0,2.0,25.0,1.0,1.0,1.0,0.0,0.0,
685,0.0,55.788368000000006,37.678343,3.0,Спортивный Квартал ЖК,5,,,12.0,,,,,,
304,0.0,55.827670999999995,37.487559000000005,1.0,Ленинградское шоссе,25к2,2012.0,2.0,40.0,0.0,1.0,1.0,,1.0,0.0
7046,1.0,55.781114,37.57978,1.0,улица 3-я Ямского Поля,9к5,2016.0,2.0,6.0,1.0,0.0,0.0,,,
320,0.0,55.856366,37.478208,1.0,Фестивальная улица,17К1,2004.0,4.0,24.0,1.0,0.0,0.0,,,0.0
7610,0.0,55.82885,37.528486,1.0,Большая Академическая улица,29Б,1968.0,4.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
8659,0.0,55.767008,37.666872,0.0,Старая Басманная улица,22кас3,1935.0,0.0,5.0,0.0,1.0,0.0,,,0.0
9096,0.0,55.787153,37.622819,0.0,Олимпийский проспект,22,1976.0,2.0,16.0,0.0,1.0,0.0,,1.0,0.0
5711,0.0,55.756462,37.569953000000005,0.0,Рочдельская улица,11/5,1940.0,0.0,8.0,0.0,1.0,0.0,,1.0,0.0
8940,0.0,55.655437,37.764519,4.0,Братиславская улица,25,1998.0,3.0,14.0,0.0,1.0,1.0,,1.0,0.0
4213,0.0,55.713927000000005,37.754709000000005,4.0,Окская улица,3К2,2006.0,3.0,23.0,0.0,1.0,1.0,,1.0,0.0
5591,0.0,55.799937,37.505903,1.0,улица Алабяна,13к1,2007.0,2.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0
5842,0.0,55.634949,37.650828000000004,5.0,улица Бехтерева,7К1,1965.0,3.0,9.0,0.0,1.0,0.0,,,0.0
5339,0.0,55.717746,37.597153999999996,5.0,Малая Калужская улица,8,1954.0,0.0,8.0,0.0,1.0,0.0,,1.0,0.0
1658,0.0,55.722517,37.613656,0.0,улица Шаболовка,23к3,2006.0,,22.0,,,,,,
7201,0.0,55.542487,37.491161,11.0,улица Александры Монаховой,95к2,2016.0,,18.0,0.0,1.0,1.0,,,
2573,0.0,55.573378000000005,37.468775,11.0,улица Сосенский Стан,5,2014.0,2.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0
1556,1.0,55.539935,37.451815,11.0,Южное Бунино ЖК,к3,2020.0,,14.0,0.0,1.0,1.0,,,
6594,1.0,55.542126,37.490209,11.0,улица Александры Монаховой,90к2,2019.0,,10.0,0.0,1.0,1.0,1.0,,
516,0.0,55.838314000000004,37.380516,8.0,Новотушинский проезд,8К1,1992.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
5659,0.0,55.815999,37.50955,1.0,улица Космонавта Волкова,7,1953.0,0.0,9.0,0.0,1.0,0.0,,1.0,0.0
7852,0.0,55.78811999999999,37.635323,0.0,проспект Мира,70,1944.0,0.0,7.0,0.0,1.0,0.0,,1.0,0.0
2985,0.0,55.878167000000005,37.538242,1.0,Дмитровское шоссе,107Ак3,2018.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0
444,,55.545788,37.519063,6.0,Бартеневская улица,49К3,,,12.0,,,,,,
6467,0.0,55.8724,37.538862,1.0,Бескудниковский бульвар,57К1,1968.0,4.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
3594,,55.848913,37.586356,2.0,Алтуфьевское шоссе,2А,,,16.0,,,,,,
1967,0.0,55.583234999999995,37.670159999999996,5.0,Бирюлевская улица,47К1,1983.0,4.0,17.0,0.0,1.0,0.0,,1.0,0.0
5291,0.0,55.607377,37.712749,5.0,Ореховый бульвар,12К2,1974.0,3.0,9.0,0.0,1.0,0.0,,1.0,0.0
9329,0.0,55.620199,37.602633000000004,5.0,Днепропетровская улица,3К4,1970.0,2.0,9.0,0.0,1.0,0.0,,1.0,0.0
2977,0.0,55.62146,37.741001000000004,5.0,Шипиловская улица,54К1,1976.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
8149,0.0,55.769438,37.476591,8.0,Карамышевская набережная,28к1,2009.0,,17.0,0.0,1.0,1.0,,1.0,0.0
7091,0.0,55.808078,37.495715999999994,1.0,Волоколамское шоссе,13,1957.0,0.0,9.0,0.0,1.0,0.0,,,0.0
5738,1.0,55.79394,37.569593,1.0,Петровско-Разумовский проезд,8,2021.0,,5.0,0.0,1.0,1.0,,,
1077,0.0,55.880414,37.528154,1.0,Ангарская улица,47,1967.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
9378,0.0,55.835522999999995,37.48782,1.0,Ленинградское шоссе,48К2,1963.0,3.0,5.0,1.0,0.0,0.0,,,0.0
2454,0.0,55.821183,37.526977,1.0,Большая Академическая улица,12/18К2,1963.0,0.0,5.0,1.0,0.0,0.0,,,0.0
6360,1.0,55.803985,37.516,1.0,Ленинградский проспект,71КГ,2021.0,,9.0,0.0,1.0,0.0,,,
1908,0.0,55.856775,37.504096999999994,1.0,Флотская улица,13К2,1967.0,,9.0,0.0,1.0,0.0,1.0,,0.0
9717,0.0,55.86691,37.463332,1.0,Ленинградское шоссе,118К1,2009.0,3.0,22.0,0.0,1.0,1.0,,1.0,0.0
8569,0.0,55.626553,37.596094,5.0,Чертановская улица,18,1959.0,4.0,9.0,0.0,1.0,0.0,,1.0,0.0
4612,0.0,55.79348,37.487029,8.0,улица Маршала Соколовского,10К1,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
5346,0.0,55.852309,37.408867,8.0,улица Героев Панфиловцев,49К1,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
1033,0.0,55.79910699999999,37.583077,1.0,Бутырская улица,21,1978.0,3.0,16.0,0.0,1.0,1.0,1.0,1.0,0.0
1041,0.0,55.865469999999995,37.537649,1.0,Дегунинская улица,10к1,2019.0,,22.0,0.0,1.0,1.0,0.0,1.0,1.0
5104,0.0,55.852976,37.360061,8.0,Пятницкое шоссе,35,1992.0,3.0,17.0,0.0,1.0,1.0,,1.0,0.0
2455,0.0,55.836853000000005,37.520635,1.0,Коптевская улица,83К1,1954.0,0.0,5.0,1.0,0.0,0.0,,,0.0
966,0.0,55.82418199999999,37.508328000000006,1.0,Старопетровский проезд,12К1,2005.0,3.0,14.0,0.0,1.0,1.0,,1.0,
4680,0.0,55.77598100000001,37.557628,1.0,Беговая улица,6К3,1970.0,0.0,14.0,0.0,1.0,0.0,,1.0,0.0
7740,0.0,55.86649499999999,37.495707,1.0,Петрозаводская улица,22К1,2003.0,4.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0
5340,0.0,55.660444999999996,37.620276000000004,5.0,Варшавское шоссе,71К1,1959.0,4.0,9.0,0.0,1.0,0.0,,1.0,0.0
1441,0.0,55.780983,37.570294,1.0,Ленинградский проспект,15С9,2019.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,
1129,1.0,55.879551,37.596166,2.0,Бибиревская улица,4С2,,,20.0,0.0,1.0,1.0,,,
5196,0.0,55.597678,37.542833,6.0,Голубинская улица,29К3,1980.0,3.0,16.0,0.0,1.0,0.0,,1.0,0.0
3817,0.0,55.685781999999996,37.543192,6.0,Ленинский проспект,77к1,1958.0,0.0,9.0,0.0,1.0,0.0,,1.0,0.0
3210,1.0,55.788515000000004,37.567482,1.0,Ленинградский проспект,36С10,2019.0,,15.0,0.0,1.0,1.0,0.0,,
8786,0.0,55.852405000000005,37.437182,8.0,улица Героев Панфиловцев,1К1,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
3537,0.0,55.856432,37.449641,8.0,улица Свободы,65,1989.0,3.0,12.0,0.0,1.0,0.0,,1.0,0.0
5140,0.0,55.812661,37.636823,2.0,проспект Мира,103,1966.0,0.0,11.0,0.0,1.0,0.0,,1.0,0.0
5653,0.0,55.687441,37.464194,7.0,Большая Очаковская улица,5,2006.0,2.0,25.0,0.0,1.0,1.0,,1.0,0.0
1577,0.0,55.649027000000004,37.343299,7.0,Лукинская улица,10,2010.0,2.0,25.0,0.0,1.0,0.0,,,0.0
1796,0.0,55.81231700000001,37.589248,2.0,улица Руставели,6К6,1966.0,4.0,9.0,0.0,1.0,0.0,,,0.0
7954,0.0,55.861989,37.691773,2.0,Ярославское шоссе,55,1975.0,,16.0,0.0,1.0,0.0,,,
7456,0.0,55.810688,37.636759999999995,2.0,проспект Мира,99,1959.0,0.0,10.0,0.0,1.0,0.0,,1.0,0.0
6445,1.0,55.80944399999999,37.648277,2.0,Новоалексеевская улица,16с28,,,19.0,0.0,1.0,1.0,,,
4411,1.0,55.849287,37.579861,2.0,Нововладыкинский проезд,1к1,2020.0,,18.0,1.0,1.0,1.0,,,
1659,,55.869137,37.699732,2.0,Федоскинская улица,9К2,,,14.0,,,,,,
2439,0.0,55.64759,37.575091,6.0,Балаклавский проспект,42,1965.0,4.0,12.0,0.0,1.0,0.0,,1.0,0.0
8014,0.0,55.679081999999994,37.527058000000004,6.0,улица Марии Ульяновой,3К1,1959.0,0.0,8.0,0.0,1.0,0.0,,1.0,0.0
7880,0.0,55.565137,37.476932,11.0,улица Сосенский Стан,17,2016.0,2.0,25.0,0.0,1.0,1.0,0.0,1.0,0.0
1294,0.0,55.86669200000001,37.438646000000006,8.0,Планерная улица,20к1,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
20,0.0,55.802997999999995,37.591503,2.0,Новодмитровская улица,2к6,2017.0,2.0,47.0,1.0,1.0,1.0,1.0,0.0,
7366,0.0,55.890643000000004,37.675163,2.0,Осташковская улица,28,1983.0,3.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
7505,0.0,55.880778,37.587865,2.0,Алтуфьевское шоссе,56,1979.0,3.0,12.0,0.0,1.0,1.0,,1.0,0.0
7209,0.0,55.87449599999999,37.591431,2.0,Высоковольтный проезд,1к5,2009.0,2.0,22.0,0.0,1.0,1.0,,,0.0
7641,0.0,55.89555,37.574804,2.0,Абрамцевская улица,10,2019.0,,12.0,0.0,1.0,1.0,0.0,1.0,
2295,0.0,55.846194,37.581146000000004,2.0,Гостиничная улица,10К5,,0.0,5.0,1.0,1.0,0.0,1.0,0.0,
9240,0.0,55.81320699999999,37.642635,2.0,Маломосковская улица,4,2012.0,2.0,22.0,0.0,1.0,0.0,,1.0,0.0
5624,1.0,55.943118999999996,37.532044,2.0,Дмитровское шоссе,169С17,2016.0,,15.0,0.0,1.0,1.0,,0.0,
6554,0.0,55.851620999999994,37.681028999999995,2.0,Ярославское шоссе,4К2,2020.0,4.0,22.0,0.0,1.0,0.0,,1.0,0.0
2078,0.0,55.81016700000001,37.651044,2.0,Новоалексеевская улица,18К1,1973.0,3.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0
8000,0.0,55.867445,37.587524,2.0,Алтуфьевское шоссе,34А,1975.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0
3128,0.0,55.85224300000001,37.610997,2.0,Березовая аллея,7,1979.0,3.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0
6136,0.0,55.758387,37.708976,4.0,мкр. 4-й,к409,1966.0,3.0,9.0,1.0,0.0,0.0,,,0.0
4384,0.0,55.512842000000006,37.371497,11.0,улица Облепиховая,15,2013.0,4.0,3.0,1.0,0.0,0.0,1.0,,0.0
3292,0.0,55.760493999999994,37.518551,8.0,Причальный проезд,8к1,2015.0,2.0,9.0,0.0,1.0,1.0,0.0,,0.0
2056,1.0,55.881328,37.683796,2.0,Тайнинская улица,9С5,,,7.0,,,,,,
7525,0.0,55.84771,37.636599,2.0,Лазоревый проезд,5к4,2016.0,2.0,18.0,0.0,1.0,1.0,,,
4856,,55.874067000000004,37.591683,2.0,Высоковольтный проезд,1к4,2009.0,,22.0,,,,,,
3155,0.0,55.87508199999999,37.589051,2.0,Высоковольтный проезд,1к8,2011.0,2.0,25.0,0.0,1.0,1.0,,0.0,0.0
1849,,55.545472,37.533014,6.0,улица Адмирала Лазарева,19к1,,,17.0,,,,,,
3638,0.0,55.842838,37.583939,2.0,Ботаническая улица,37/2к1,1960.0,,5.0,1.0,0.0,0.0,,,0.0
8137,0.0,55.797447,37.607969,2.0,1-й Стрелецкий проезд,3,1973.0,3.0,12.0,0.0,1.0,0.0,,1.0,0.0
1717,0.0,55.827575,37.667905,2.0,проезд Кадомцева,23,2012.0,4.0,17.0,0.0,1.0,1.0,,,0.0
8139,1.0,55.501875,37.522046,11.0,Остафьево ЖК,к1,2020.0,2.0,14.0,0.0,1.0,1.0,1.0,0.0,
3934,0.0,55.593568000000005,37.46052,11.0,бульвар Веласкеса,7к3,2019.0,,9.0,0.0,1.0,1.0,,,
8807,0.0,55.841372,37.3659,8.0,Митинская улица,17К2,2011.0,2.0,32.0,0.0,1.0,1.0,0.0,,0.0
1542,0.0,55.864798,37.466278,1.0,Ленинградское шоссе,112к3,1965.0,0.0,9.0,0.0,1.0,0.0,,1.0,0.0
8561,0.0,55.811103,37.561113,1.0,Астрадамский проезд,4Ак1,2005.0,2.0,30.0,0.0,1.0,1.0,0.0,1.0,3.0
